row_key,WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
Libya#2026-05-02#1771.0,2026-05-02,Northern Africa,Libya,West,Protests,Peaceful protest,1,0,,Demonstrations,1771.0,30.8294,14.1486
Libya#2026-04-25#1771.0,2026-04-25,Northern Africa,Libya,West,Protests,Protest with intervention,1,0,,Demonstrations,1771.0,30.8294,14.1486
Libya#2026-05-02#1771.0,2026-05-02,Northern Africa,Libya,West,Riots,Mob violence,1,0,,Political violence,1771.0,30.8294,14.1486
Libya#2026-05-02#1771.0,2026-05-02,Northern Africa,Libya,West,Strategic developments,Arrests,1,0,,Strategic developments,1771.0,30.8294,14.1486
Libya#2026-05-02#1771.0,2026-05-02,Northern Africa,Libya,West,Strategic developments,Change to group/activity,2,0,,Strategic developments,1771.0,30.8294,14.1486
Libya#2026-05-02#1771.0,2026-05-02,Northern Africa,Libya,West,Strategic developments,Disrupted weapons use,2,0,,Strategic developments,1771.0,30.8294,14.1486
Libya#2026-04-18#1771.0,2026-04-18,Northern Africa,Libya,West,Strategic developments,Other,1,0,,Strategic developments,1771.0,30.8294,14.1486
Libya#2026-04-18#1771.0,2026-04-18,Northern Africa,Libya,West,Violence against civilians,Abduction/forced disappearance,2,0,18057.0,Political violence,1771.0,30.8294,14.1486
Libya#2026-04-18#1771.0,2026-04-18,Northern Africa,Libya,West,Violence against civilians,Attack,3,3,87150.0,Political violence,1771.0,30.8294,14.1486
Libya#2026-04-25#1771.0,2026-04-25,Northern Africa,Libya,West,Violence against civilians,Attack,2,2,68187.0,Political violence,1771.0,30.8294,14.1486
Libya#2026-05-02#1771.0,2026-05-02,Northern Africa,Libya,West,Violence against civilians,Attack,2,1,,Political violence,1771.0,30.8294,14.1486
Morocco#2026-04-18#2032.0,2026-04-18,Northern Africa,Morocco,Casablanca-Settat,Protests,Peaceful protest,3,0,24238.0,Demonstrations,2032.0,33.0652,-7.7994
Morocco#2026-04-25#2032.0,2026-04-25,Northern Africa,Morocco,Casablanca-Settat,Protests,Peaceful protest,4,0,25567.0,Demonstrations,2032.0,33.0652,-7.7994
Morocco#2026-05-02#2032.0,2026-05-02,Northern Africa,Morocco,Casablanca-Settat,Protests,Peaceful protest,3,0,24238.0,Demonstrations,2032.0,33.0652,-7.7994
Morocco#2026-04-25#2032.0,2026-04-25,Northern Africa,Morocco,Casablanca-Settat,Riots,Violent demonstration,1,0,100342.0,Demonstrations,2032.0,33.0652,-7.7994
Morocco#2026-04-18#2033.0,2026-04-18,Northern Africa,Morocco,Draa-Tafilalet,Protests,Peaceful protest,1,0,8687.0,Demonstrations,2033.0,31.2922,-5.5751
Morocco#2026-04-25#2033.0,2026-04-25,Northern Africa,Morocco,Draa-Tafilalet,Protests,Peaceful protest,3,0,8687.0,Demonstrations,2033.0,31.2922,-5.5751
Morocco#2026-04-25#2034.0,2026-04-25,Northern Africa,Morocco,Eddakhla-Oued Eddahab,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,2034.0,22.7354,-14.742
Morocco#2026-04-18#2035.0,2026-04-18,Northern Africa,Morocco,Fes-Meknes,Protests,Peaceful protest,1,0,,Demonstrations,2035.0,33.7473,-4.8476
Morocco#2026-04-25#2035.0,2026-04-25,Northern Africa,Morocco,Fes-Meknes,Protests,Peaceful protest,2,0,14439.0,Demonstrations,2035.0,33.7473,-4.8476
Morocco#2026-05-02#2035.0,2026-05-02,Northern Africa,Morocco,Fes-Meknes,Protests,Peaceful protest,1,0,14439.0,Demonstrations,2035.0,33.7473,-4.8476
Morocco#2026-04-18#2036.0,2026-04-18,Northern Africa,Morocco,Guelmim-Oued Noun,Battles,Armed clash,1,0,,Political violence,2036.0,28.3859,-10.0844
Morocco#2026-05-02#2036.0,2026-05-02,Northern Africa,Morocco,Guelmim-Oued Noun,Protests,Peaceful protest,1,0,,Demonstrations,2036.0,28.3859,-10.0844
Morocco#2026-05-02#2037.0,2026-05-02,Northern Africa,Morocco,Laayoune-Sakia El Hamra,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,,Political violence,2037.0,26.291,-11.4859
Morocco#2026-04-25#2037.0,2026-04-25,Northern Africa,Morocco,Laayoune-Sakia El Hamra,Protests,Peaceful protest,1,0,1243.0,Demonstrations,2037.0,26.291,-11.4859
Morocco#2026-04-25#2037.0,2026-04-25,Northern Africa,Morocco,Laayoune-Sakia El Hamra,Protests,Protest with intervention,1,0,,Demonstrations,2037.0,26.291,-11.4859
Morocco#2026-04-18#2038.0,2026-04-18,Northern Africa,Morocco,Marrakech-Safi,Protests,Peaceful protest,2,0,,Demonstrations,2038.0,31.8063,-8.3064
Morocco#2026-04-25#2038.0,2026-04-25,Northern Africa,Morocco,Marrakech-Safi,Protests,Peaceful protest,3,0,9752.0,Demonstrations,2038.0,31.8063,-8.3064
Morocco#2026-05-02#2038.0,2026-05-02,Northern Africa,Morocco,Marrakech-Safi,Protests,Peaceful protest,1,0,8186.0,Demonstrations,2038.0,31.8063,-8.3064
Morocco#2026-04-25#2039.0,2026-04-25,Northern Africa,Morocco,Oriental,Protests,Peaceful protest,3,0,26725.0,Demonstrations,2039.0,33.5812,-2.3906
Morocco#2026-04-18#2040.0,2026-04-18,Northern Africa,Morocco,Rabat-Sale-Kenitra,Protests,Peaceful protest,8,0,25258.0,Demonstrations,2040.0,34.0853,-6.3287
Morocco#2026-04-25#2040.0,2026-04-25,Northern Africa,Morocco,Rabat-Sale-Kenitra,Protests,Peaceful protest,6,0,23062.0,Demonstrations,2040.0,34.0853,-6.3287
Morocco#2026-05-02#2040.0,2026-05-02,Northern Africa,Morocco,Rabat-Sale-Kenitra,Protests,Peaceful protest,3,0,23062.0,Demonstrations,2040.0,34.0853,-6.3287
Morocco#2026-04-25#2040.0,2026-04-25,Northern Africa,Morocco,Rabat-Sale-Kenitra,Protests,Protest with intervention,1,0,23062.0,Demonstrations,2040.0,34.0853,-6.3287
Morocco#2026-04-25#2040.0,2026-04-25,Northern Africa,Morocco,Rabat-Sale-Kenitra,Strategic developments,Other,1,0,,Strategic developments,2040.0,34.0853,-6.3287
Morocco#2026-04-18#2041.0,2026-04-18,Northern Africa,Morocco,Souss-Massa,Protests,Peaceful protest,1,0,8266.0,Demonstrations,2041.0,29.7358,-8.1577
Morocco#2026-04-25#2041.0,2026-04-25,Northern Africa,Morocco,Souss-Massa,Protests,Peaceful protest,2,0,8266.0,Demonstrations,2041.0,29.7358,-8.1577
Morocco#2026-05-02#2041.0,2026-05-02,Northern Africa,Morocco,Souss-Massa,Protests,Peaceful protest,2,0,8266.0,Demonstrations,2041.0,29.7358,-8.1577
Morocco#2026-04-18#2042.0,2026-04-18,Northern Africa,Morocco,Tanger-Tetouan-Al Hoceima,Protests,Peaceful protest,3,0,1813.0,Demonstrations,2042.0,35.2182,-5.4348
Morocco#2026-04-25#2042.0,2026-04-25,Northern Africa,Morocco,Tanger-Tetouan-Al Hoceima,Protests,Peaceful protest,6,0,7416.0,Demonstrations,2042.0,35.2182,-5.4348
Morocco#2026-05-02#2042.0,2026-05-02,Northern Africa,Morocco,Tanger-Tetouan-Al Hoceima,Protests,Peaceful protest,3,0,,Demonstrations,2042.0,35.2182,-5.4348
Morocco#2026-04-25#2042.0,2026-04-25,Northern Africa,Morocco,Tanger-Tetouan-Al Hoceima,Protests,Protest with intervention,1,0,,Demonstrations,2042.0,35.2182,-5.4348
Tunisia#2026-04-25#3324.0,2026-04-25,Northern Africa,Tunisia,Beja,Protests,Peaceful protest,1,0,234.0,Demonstrations,3324.0,36.7459,9.2027
Tunisia#2026-04-25#3326.0,2026-04-25,Northern Africa,Tunisia,Bizerte,Protests,Peaceful protest,1,0,,Demonstrations,3326.0,37.0363,9.6395
Tunisia#2026-04-25#3328.0,2026-04-25,Northern Africa,Tunisia,Gafsa,Protests,Peaceful protest,3,0,,Demonstrations,3328.0,34.4322,8.7905
Tunisia#2026-04-18#3330.0,2026-04-18,Northern Africa,Tunisia,Kairouan,Protests,Peaceful protest,1,0,,Demonstrations,3330.0,35.5795,9.8353
Tunisia#2026-04-25#3330.0,2026-04-25,Northern Africa,Tunisia,Kairouan,Protests,Peaceful protest,3,0,10305.0,Demonstrations,3330.0,35.5795,9.8353
Tunisia#2026-05-02#3330.0,2026-05-02,Northern Africa,Tunisia,Kairouan,Riots,Mob violence,1,0,,Political violence,3330.0,35.5795,9.8353
Tunisia#2026-05-02#3332.0,2026-05-02,Northern Africa,Tunisia,Kebili,Protests,Peaceful protest,1,0,,Demonstrations,3332.0,33.3386,8.7145
Tunisia#2026-04-18#3338.0,2026-04-18,Northern Africa,Tunisia,Nabeul,Protests,Peaceful protest,2,0,,Demonstrations,3338.0,36.7204,10.7024
Tunisia#2026-04-25#3338.0,2026-04-25,Northern Africa,Tunisia,Nabeul,Protests,Peaceful protest,2,0,16832.0,Demonstrations,3338.0,36.7204,10.7024
Tunisia#2026-05-02#3338.0,2026-05-02,Northern Africa,Tunisia,Nabeul,Protests,Peaceful protest,2,0,,Demonstrations,3338.0,36.7204,10.7024
Tunisia#2026-05-02#3340.0,2026-05-02,Northern Africa,Tunisia,Sidi Bouzid,Protests,Peaceful protest,1,0,,Demonstrations,3340.0,34.8819,9.5266
Tunisia#2026-04-25#3341.0,2026-04-25,Northern Africa,Tunisia,Siliana,Protests,Peaceful protest,3,0,,Demonstrations,3341.0,35.9715,9.3577
Tunisia#2026-04-25#3342.0,2026-04-25,Northern Africa,Tunisia,Sousse,Protests,Peaceful protest,1,0,,Demonstrations,3342.0,35.8942,10.3978
Tunisia#2026-04-18#3345.0,2026-04-18,Northern Africa,Tunisia,Tunis,Protests,Peaceful protest,1,0,,Demonstrations,3345.0,36.8177,10.2125
Tunisia#2026-04-25#3345.0,2026-04-25,Northern Africa,Tunisia,Tunis,Protests,Peaceful protest,2,0,16799.0,Demonstrations,3345.0,36.8177,10.2125
Tunisia#2026-05-02#3345.0,2026-05-02,Northern Africa,Tunisia,Tunis,Protests,Peaceful protest,1,0,16799.0,Demonstrations,3345.0,36.8177,10.2125
Tunisia#2026-04-18#3345.0,2026-04-18,Northern Africa,Tunisia,Tunis,Strategic developments,Other,1,0,,Strategic developments,3345.0,36.8177,10.2125
Tunisia#2026-05-02#3345.0,2026-05-02,Northern Africa,Tunisia,Tunis,Strategic developments,Other,1,0,,Strategic developments,3345.0,36.8177,10.2125
Bahrain#2026-04-25#285.0,2026-04-25,Middle East,Bahrain,Capital,Protests,Peaceful protest,1,0,10227.0,Demonstrations,285.0,26.1927,50.5508
Bahrain#2026-04-18#285.0,2026-04-18,Middle East,Bahrain,Capital,Riots,Violent demonstration,6,0,6716.0,Demonstrations,285.0,26.1927,50.5508
Bahrain#2026-05-02#285.0,2026-05-02,Middle East,Bahrain,Capital,Riots,Violent demonstration,1,0,,Demonstrations,285.0,26.1927,50.5508
Bahrain#2026-05-02#285.0,2026-05-02,Middle East,Bahrain,Capital,Strategic developments,Arrests,1,0,,Strategic developments,285.0,26.1927,50.5508
Bahrain#2026-04-25#285.0,2026-04-25,Middle East,Bahrain,Capital,Strategic developments,Other,1,0,,Strategic developments,285.0,26.1927,50.5508
Bahrain#2026-05-02#285.0,2026-05-02,Middle East,Bahrain,Capital,Strategic developments,Other,2,0,,Strategic developments,285.0,26.1927,50.5508
Bahrain#2026-04-25#286.0,2026-04-25,Middle East,Bahrain,Muharraq,Protests,Peaceful protest,1,0,7815.0,Demonstrations,286.0,26.2547,50.6428
Bahrain#2026-04-18#287.0,2026-04-18,Middle East,Bahrain,Northern,Protests,Peaceful protest,6,0,13764.0,Demonstrations,287.0,26.1468,50.4809
Bahrain#2026-04-25#287.0,2026-04-25,Middle East,Bahrain,Northern,Protests,Peaceful protest,3,0,12609.0,Demonstrations,287.0,26.1468,50.4809
Bahrain#2026-05-02#287.0,2026-05-02,Middle East,Bahrain,Northern,Protests,Peaceful protest,1,0,,Demonstrations,287.0,26.1468,50.4809
Bahrain#2026-04-18#287.0,2026-04-18,Middle East,Bahrain,Northern,Riots,Violent demonstration,2,0,18047.0,Demonstrations,287.0,26.1468,50.4809
Bahrain#2026-04-25#287.0,2026-04-25,Middle East,Bahrain,Northern,Riots,Violent demonstration,3,0,,Demonstrations,287.0,26.1468,50.4809
Iran#2026-04-18#1329.0,2026-04-18,Middle East,Iran,Alborz,Protests,Peaceful protest,6,0,43321.0,Demonstrations,1329.0,35.9457,50.906
Iran#2026-04-25#1329.0,2026-04-25,Middle East,Iran,Alborz,Protests,Peaceful protest,5,0,43326.0,Demonstrations,1329.0,35.9457,50.906
Iran#2026-05-02#1329.0,2026-05-02,Middle East,Iran,Alborz,Protests,Peaceful protest,3,0,43321.0,Demonstrations,1329.0,35.9457,50.906
Iran#2026-04-18#1330.0,2026-04-18,Middle East,Iran,Ardabil,Protests,Peaceful protest,7,0,29402.0,Demonstrations,1330.0,38.4066,47.9857
Iran#2026-04-25#1330.0,2026-04-25,Middle East,Iran,Ardabil,Protests,Peaceful protest,5,0,29187.0,Demonstrations,1330.0,38.4066,47.9857
Iran#2026-05-02#1330.0,2026-05-02,Middle East,Iran,Ardabil,Protests,Peaceful protest,5,0,29187.0,Demonstrations,1330.0,38.4066,47.9857
Iran#2026-04-18#1331.0,2026-04-18,Middle East,Iran,Bushehr,Protests,Peaceful protest,5,0,7899.0,Demonstrations,1331.0,28.7846,51.5038
Iran#2026-04-25#1331.0,2026-04-25,Middle East,Iran,Bushehr,Protests,Peaceful protest,3,0,7899.0,Demonstrations,1331.0,28.7846,51.5038
Iran#2026-05-02#1331.0,2026-05-02,Middle East,Iran,Bushehr,Protests,Peaceful protest,3,0,7899.0,Demonstrations,1331.0,28.7846,51.5038
Iran#2026-04-18#1332.0,2026-04-18,Middle East,Iran,Chaharmahal and Bakhtiari,Protests,Peaceful protest,5,0,22082.0,Demonstrations,1332.0,31.979,50.8101
Iran#2026-04-25#1332.0,2026-04-25,Middle East,Iran,Chaharmahal and Bakhtiari,Protests,Peaceful protest,4,0,22082.0,Demonstrations,1332.0,31.979,50.8101
Iran#2026-05-02#1332.0,2026-05-02,Middle East,Iran,Chaharmahal and Bakhtiari,Protests,Peaceful protest,5,0,,Demonstrations,1332.0,31.979,50.8101
Iran#2026-04-18#1333.0,2026-04-18,Middle East,Iran,East Azerbaijan,Protests,Peaceful protest,9,0,14521.0,Demonstrations,1333.0,38.0858,46.6924
Iran#2026-04-25#1333.0,2026-04-25,Middle East,Iran,East Azerbaijan,Protests,Peaceful protest,4,0,14521.0,Demonstrations,1333.0,38.0858,46.6924
Iran#2026-05-02#1333.0,2026-05-02,Middle East,Iran,East Azerbaijan,Protests,Peaceful protest,5,0,,Demonstrations,1333.0,38.0858,46.6924
Iran#2026-04-25#1333.0,2026-04-25,Middle East,Iran,East Azerbaijan,Strategic developments,Other,1,0,,Strategic developments,1333.0,38.0858,46.6924
Iran#2026-04-18#1334.0,2026-04-18,Middle East,Iran,Fars,Protests,Peaceful protest,9,0,19048.0,Demonstrations,1334.0,29.3576,53.3176
Iran#2026-04-25#1334.0,2026-04-25,Middle East,Iran,Fars,Protests,Peaceful protest,9,0,46974.0,Demonstrations,1334.0,29.3576,53.3176
Iran#2026-05-02#1334.0,2026-05-02,Middle East,Iran,Fars,Protests,Peaceful protest,9,0,,Demonstrations,1334.0,29.3576,53.3176
Iran#2026-04-18#1335.0,2026-04-18,Middle East,Iran,Gilan,Protests,Peaceful protest,7,0,28705.0,Demonstrations,1335.0,37.5092,49.0189
Iran#2026-04-25#1335.0,2026-04-25,Middle East,Iran,Gilan,Protests,Peaceful protest,8,0,20674.0,Demonstrations,1335.0,37.5092,49.0189
Iran#2026-05-02#1335.0,2026-05-02,Middle East,Iran,Gilan,Protests,Peaceful protest,10,0,,Demonstrations,1335.0,37.5092,49.0189
Iran#2026-04-18#1336.0,2026-04-18,Middle East,Iran,Golestan,Protests,Peaceful protest,7,0,26870.0,Demonstrations,1336.0,37.2982,54.8804
Iran#2026-04-25#1336.0,2026-04-25,Middle East,Iran,Golestan,Protests,Peaceful protest,6,0,23975.0,Demonstrations,1336.0,37.2982,54.8804
Iran#2026-05-02#1336.0,2026-05-02,Middle East,Iran,Golestan,Protests,Peaceful protest,6,0,23975.0,Demonstrations,1336.0,37.2982,54.8804
Iran#2026-04-18#1337.0,2026-04-18,Middle East,Iran,Hamadan,Protests,Peaceful protest,3,0,57350.0,Demonstrations,1337.0,34.8698,48.559
Iran#2026-04-25#1337.0,2026-04-25,Middle East,Iran,Hamadan,Protests,Peaceful protest,3,0,54719.0,Demonstrations,1337.0,34.8698,48.559
Iran#2026-05-02#1337.0,2026-05-02,Middle East,Iran,Hamadan,Protests,Peaceful protest,3,0,32219.0,Demonstrations,1337.0,34.8698,48.559
Iran#2026-05-02#1338.0,2026-05-02,Middle East,Iran,Hormozgan,Explosions/Remote violence,Air/drone strike,7,1,113667.0,Political violence,1338.0,27.1422,55.0325
Iran#2026-05-02#1338.0,2026-05-02,Middle East,Iran,Hormozgan,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,,Political violence,1338.0,27.1422,55.0325
Iran#2026-04-18#1338.0,2026-04-18,Middle East,Iran,Hormozgan,Protests,Peaceful protest,11,0,41311.0,Demonstrations,1338.0,27.1422,55.0325
Iran#2026-04-25#1338.0,2026-04-25,Middle East,Iran,Hormozgan,Protests,Peaceful protest,11,0,44368.0,Demonstrations,1338.0,27.1422,55.0325
Iran#2026-05-02#1338.0,2026-05-02,Middle East,Iran,Hormozgan,Protests,Peaceful protest,7,0,13852.0,Demonstrations,1338.0,27.1422,55.0325
Iran#2026-04-18#1338.0,2026-04-18,Middle East,Iran,Hormozgan,Strategic developments,Disrupted weapons use,4,0,,Strategic developments,1338.0,27.1422,55.0325
Iran#2026-05-02#1338.0,2026-05-02,Middle East,Iran,Hormozgan,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,1338.0,27.1422,55.0325
Iran#2026-04-18#1338.0,2026-04-18,Middle East,Iran,Hormozgan,Strategic developments,Other,1,0,,Strategic developments,1338.0,27.1422,55.0325
Iran#2026-05-02#1338.0,2026-05-02,Middle East,Iran,Hormozgan,Strategic developments,Other,9,0,,Strategic developments,1338.0,27.1422,55.0325
Iran#2026-04-18#1339.0,2026-04-18,Middle East,Iran,Ilam,Protests,Peaceful protest,7,0,18141.0,Demonstrations,1339.0,33.0433,46.8724
Iran#2026-04-25#1339.0,2026-04-25,Middle East,Iran,Ilam,Protests,Peaceful protest,5,0,18141.0,Demonstrations,1339.0,33.0433,46.8724
Iran#2026-05-02#1339.0,2026-05-02,Middle East,Iran,Ilam,Protests,Peaceful protest,9,0,18141.0,Demonstrations,1339.0,33.0433,46.8724
Iran#2026-04-18#1340.0,2026-04-18,Middle East,Iran,Isfahan,Protests,Peaceful protest,11,0,28183.0,Demonstrations,1340.0,32.6094,52.0477
Iran#2026-04-25#1340.0,2026-04-25,Middle East,Iran,Isfahan,Protests,Peaceful protest,6,0,48238.0,Demonstrations,1340.0,32.6094,52.0477
Iran#2026-05-02#1340.0,2026-05-02,Middle East,Iran,Isfahan,Protests,Peaceful protest,9,0,,Demonstrations,1340.0,32.6094,52.0477
Iran#2026-05-02#1340.0,2026-05-02,Middle East,Iran,Isfahan,Strategic developments,Other,1,0,,Strategic developments,1340.0,32.6094,52.0477
Iran#2026-04-18#1341.0,2026-04-18,Middle East,Iran,Kerman,Protests,Peaceful protest,8,0,27379.0,Demonstrations,1341.0,29.2326,57.3392
Iran#2026-04-25#1341.0,2026-04-25,Middle East,Iran,Kerman,Protests,Peaceful protest,10,0,20000.0,Demonstrations,1341.0,29.2326,57.3392
Iran#2026-05-02#1341.0,2026-05-02,Middle East,Iran,Kerman,Protests,Peaceful protest,8,0,20000.0,Demonstrations,1341.0,29.2326,57.3392
Iran#2026-04-18#1341.0,2026-04-18,Middle East,Iran,Kerman,Strategic developments,Arrests,1,0,,Strategic developments,1341.0,29.2326,57.3392
Iran#2026-04-25#1341.0,2026-04-25,Middle East,Iran,Kerman,Strategic developments,Arrests,1,0,,Strategic developments,1341.0,29.2326,57.3392
Iran#2026-04-18#1341.0,2026-04-18,Middle East,Iran,Kerman,Violence against civilians,Attack,1,0,68871.0,Political violence,1341.0,29.2326,57.3392
Iran#2026-04-18#1342.0,2026-04-18,Middle East,Iran,Kermanshah,Protests,Peaceful protest,1,0,32059.0,Demonstrations,1342.0,34.4871,46.8086
Iran#2026-04-25#1342.0,2026-04-25,Middle East,Iran,Kermanshah,Protests,Peaceful protest,9,0,79317.0,Demonstrations,1342.0,34.4871,46.8086
Iran#2026-05-02#1342.0,2026-05-02,Middle East,Iran,Kermanshah,Protests,Peaceful protest,6,0,,Demonstrations,1342.0,34.4871,46.8086
Iran#2026-04-18#1342.0,2026-04-18,Middle East,Iran,Kermanshah,Strategic developments,Arrests,1,0,,Strategic developments,1342.0,34.4871,46.8086
Iran#2026-04-18#1342.0,2026-04-18,Middle East,Iran,Kermanshah,Strategic developments,Disrupted weapons use,2,0,,Strategic developments,1342.0,34.4871,46.8086
Iran#2026-04-25#1342.0,2026-04-25,Middle East,Iran,Kermanshah,Strategic developments,Other,1,0,,Strategic developments,1342.0,34.4871,46.8086
Iran#2026-04-18#1343.0,2026-04-18,Middle East,Iran,Khuzestan,Protests,Peaceful protest,15,0,118526.0,Demonstrations,1343.0,31.4636,48.9916
Iran#2026-04-25#1343.0,2026-04-25,Middle East,Iran,Khuzestan,Protests,Peaceful protest,8,0,86471.0,Demonstrations,1343.0,31.4636,48.9916
Iran#2026-05-02#1343.0,2026-05-02,Middle East,Iran,Khuzestan,Protests,Peaceful protest,9,0,,Demonstrations,1343.0,31.4636,48.9916
Iran#2026-04-25#1343.0,2026-04-25,Middle East,Iran,Khuzestan,Strategic developments,Disrupted weapons use,2,0,,Strategic developments,1343.0,31.4636,48.9916
Iran#2026-05-02#1343.0,2026-05-02,Middle East,Iran,Khuzestan,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,1343.0,31.4636,48.9916
Iran#2026-05-02#1343.0,2026-05-02,Middle East,Iran,Khuzestan,Violence against civilians,Attack,1,0,,Political violence,1343.0,31.4636,48.9916
Iran#2026-04-18#1344.0,2026-04-18,Middle East,Iran,Kohgiluyeh and Boyer-Ahmad,Protests,Peaceful protest,7,0,18426.0,Demonstrations,1344.0,30.7032,51.0949
Iran#2026-04-25#1344.0,2026-04-25,Middle East,Iran,Kohgiluyeh and Boyer-Ahmad,Protests,Peaceful protest,5,0,18426.0,Demonstrations,1344.0,30.7032,51.0949
Iran#2026-05-02#1344.0,2026-05-02,Middle East,Iran,Kohgiluyeh and Boyer-Ahmad,Protests,Peaceful protest,6,0,18426.0,Demonstrations,1344.0,30.7032,51.0949
Iran#2026-04-18#1345.0,2026-04-18,Middle East,Iran,Kurdistan,Battles,Armed clash,1,1,313847.0,Political violence,1345.0,35.6014,47.0057
